0,0.10741
0.20408,0.16656
0.40816,0.43093
0.61224,0.85339
0.81633,1.4491
1.0204,2.1895
1.2245,3.1032
1.4286,4.2143
1.6327,5.4674
1.8367,6.9269
2.0408,8.5062
2.2449,10.294
2.449,12.262
2.6531,14.375
2.8571,16.66
3.0612,19.134
3.2653,21.797
3.4694,24.605
3.6735,27.571
3.8776,30.756
4.0816,34.11
4.2857,37.607
4.4898,41.324
4.6939,45.198
4.898,49.258
5.102,53.482
5.3061,57.886
5.5102,62.487
5.7143,67.291
5.9184,72.226
6.1224,77.354
6.3265,82.697
6.5306,88.192
6.7347,93.858
6.9388,99.745
7.1429,105.8
7.3469,112.01
7.551,118.45
7.7551,125.04
7.9592,131.85
8.1633,138.81
8.3673,145.98
8.5714,153.34
8.7755,160.88
8.9796,168.61
9.1837,176.54
9.3878,184.63
9.5918,192.92
9.7959,201.44
10,210.1
